ocid,유료아이템착용 개수,총 코디금액(원),착용코디금액(원),스페셜라벨 개수,레드라벨 개수,마스터라벨 개수,일루전 링 개수,"비싼 헤어(부티크, 마스터라벨) 유무",헤어 믹스염색 여부,헤어 믹스염색 비율,성형 믹스염색 여부,성형 믹스염색 비율,착용 아이템 리스트,"착용 헤어,성형,피부",세분화 유저 그룹
287fb54f3a26e39f982ec72b2f3dbe07,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 하이퍼 버닝 로브, 하이퍼 버닝 소드, 쑥쑥 화분 명찰 반지, 쑥쑥 화분 말풍선 반지","갈색 베베 헤어, 멋져 얼굴, 크림 피부",3. 순수 무료 유저 (지출 0원)
2b28e01745cbbda53c9917931a484f1d,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 투명 신발, 투명 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 설화 헤어, 설매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
34c08939d29b9df9c292b3d5172add44,0,0,0,0,0,0,0,0,0,0,0,0,"대적자의 머리장식, 투명 얼굴장식, 투명 안경, 투명 귀고리, 에버니아 로브, 에버니아 부츠, 투명 장갑, 에버니아 케이프, 황혼의 모래시계, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 설화 헤어, 홍매화 렌 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
e950a568f50dd3784bb65362bead6ae7,0,0,0,0,0,0,0,0,0,0,0,0,"은하매화, 투명 얼굴장식, 투명 안경, 투명 귀고리, 은하매화 여행복, 매화나무 나막신, 투명 장갑, 투명 망토, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 매직 엘라 헤어, 차분한 헤헤 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
dbb04e5e11079ef139a3e00aea791ff8,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 인형핑크, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 투명 망토, 하이퍼 버닝 소드, 쑥쑥 화분 명찰 반지, 쑥쑥 화분 말풍선 반지","검은색 베로니카 헤어, 파우더 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
4c9c65041b3fe8c5def01b9ce8cb2911,0,48000,0,0,0,0,0,0,1,1,0,0,"사이버펑크 헤드셋, 투명 얼굴장식, 투명 안경, 투명 귀고리, 사이버펑크 슈트, 사이버펑크 부츠, 투명 장갑, 투명 망토, 투명 무기, 유니온 싱크 말풍선 반지, 유니온 싱크 명찰 반지","검은색 토벤 머리, 도발적인 아잉 얼굴, 뽀송 꽃잎 피부",2. 무료/이벤트 유저 (뷰티 컨텐츠 지출)
559a545917a8771a3d93191e5139e0de,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 투명 장갑, 투명 망토, 하이퍼 버닝 소드","검은색 루나 헤어, 베로니카 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
31f2425012e42e70b8d9724a267b7cae,0,0,0,0,0,0,0,0,0,0,0,0,"대적자의 머리장식, 투명 얼굴장식, 투명 안경, 투명 귀고리, 전장의 발키리 슈트, 전장의 발키리 슈즈, 난생 처음 장갑, 전장의 발키리 케이프, 달걀 마라카스, 유랑자의 말풍선 반지, 유랑자의 명찰 반지, 쑥쑥 화분 명찰 반지, 쑥쑥 화분 말풍선 반지","파란색 마들렌 헤어, 살짝 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
6f98f4e169d9f66cead8956419eab1c7,0,0,0,0,0,0,0,0,0,0,0,0,"쑥쑥 새싹 모자, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 쑥쑥 새싹 무기, 쑥쑥 화분 말풍선 반지, 쑥쑥 화분 명찰 반지","검은색 설화 헤어, 동그래 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
b8d7a7ec5838b88187d3d98521fec9614723574b05820acf03e7ec3162ff5bed,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 투명 신발, 투명 장갑, 투명 망토, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 솜솜이 헤어, 차분한 루시드 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
9586bc2094f2c4a7c11b8d9252feaf67,0,0,0,0,0,0,0,0,0,0,0,0,"은하매화, 인형핑크, 투명 안경, 투명 귀고리, 은하매화 여행복, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 하리화 헤어, 차차 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
68fdd3ccb4032c5854946e6686f0db30,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 투명 장갑, 하이퍼 버닝 소드, 유랑자의 명찰 반지, 유랑자의 말풍선 반지","파란색 설화 헤어, 설매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
8f627e7584cafbcfcaf10963865a5d67,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 난생 처음 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","보라색 시그널 헤어, 살짝 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
fd1bb142f4fa41449b4354980310218a,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드, 유랑자의 명찰 반지, 유랑자의 말풍선 반지","빨간색 설화 헤어, 홍매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
e8ead652b5b2242de1aa8570bb875a5c,5,53680,53680,5,0,0,0,0,0,0,0,0,"홍묘혼, 투명 얼굴장식, 투명 안경, 투명 귀고리, 비연 유랑자, 비연의 잔향, 투명 장갑, 심검유혼, 홍염유검, 쑥쑥 화분 명찰 반지, 쑥쑥 화분 말풍선 반지, 유랑자의 명찰 반지, 유랑자의 말풍선 반지","검은색 허쉬 헤어, 차차 얼굴, 뽀송 꽃잎 피부",1. 유료 유저 (아이템 구매 지출)
93fb51d7d82dd7ebb568e9fa065a9aef,3,29940,5940,0,0,0,0,0,1,50,0,0,"덜바랜 빛, 투명 얼굴장식, 투명 안경, 투명 귀고리, 우화등선, 선인의 자존심, 투명 장갑, 도원향, 천년의 약속, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","파란색 설야 헤어, 흥흥 얼굴, 뽀송 꽃잎 피부",1. 유료 유저 (아이템 구매 지출)
6aee81c3cdd9189c23286237d44a7582,1,22,22,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 발그레 발그레, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 커플 스니커즈, 투명 장갑, 투명 망토, 하이퍼 버닝 소드, 쑥쑥 화분 말풍선 반지","검은색 리커버 헤어, 꼬맹이 얼굴, 엘프 피부",1. 유료 유저 (아이템 구매 지출)
b1da163004d2ef6dc5f8e57b57819d08,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 난생 처음 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 설화 헤어, 설매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
b1f11b8694b3e3df53457d45fbc32097,0,0,0,0,0,0,0,0,0,0,0,0,"은하매화, 투명 얼굴장식, 투명 안경, 투명 귀고리, 은하매화 여행복, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 솜이 헤어, 차차 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
3c239d491f259fe470b7c7affcf834e9,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 난생 처음 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드","보라색 달구름 헤어, 살짝 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
bcc158cd165261e273a8802d5d55f3db,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","파란색 룰루 헤어, 흥흥 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
8ba010cfca0c9ff8486b2b3f240d8acdefe8d04e6d233bd35cf2fabdeb93fb0d,1,8800,8800,1,0,0,0,0,0,0,0,0,"투명 모자, 투명 얼굴장식, 투명 안경, 투명 귀고리, 투명 장갑, 홍염유검, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 안개 안젤라 헤어, 설매화 렌 얼굴, 엘프 피부",1. 유료 유저 (아이템 구매 지출)
6cf8f080cb9bf87f23918548ae2b3197,0,0,0,0,0,0,0,0,0,0,0,0,"문어문어 캡, 인형핑크, 투명 안경, 투명 귀고리, 샤크샤크 바다 탐험 소녀, 난생 첫걸음, 투명 장갑, 투명 망토, 샤크샤크 상어, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","파란색 체커 루키 헤어, 설매화 렌 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
b8f1433f9db47d65a437a0ddb13d0d25,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 투명 장갑, 하이퍼 버닝 소드, 유랑자의 명찰 반지, 유랑자의 말풍선 반지","검은색 달구름 헤어, 멋져 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
c16c50c5b0109eb63871e48fd9ed4fbb,0,0,0,0,0,0,0,0,0,0,0,0,,"검은색 설화 헤어, 설매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
3be0fa9a973197cfb2356929267a09c3,0,0,0,0,0,0,0,0,0,0,0,0,"대적자의 머리장식, 에버니아 로브, 에버니아 부츠, 난생 처음 장갑, 에버니아 케이프, 황혼의 모래시계, 쑥쑥 화분 명찰 반지, 쑥쑥 화분 말풍선 반지","검은색 베로 헤어, 동그래 얼굴, 고져스 피부",3. 순수 무료 유저 (지출 0원)
20c84d24a9280c8a4e147c9215a1f0c3,0,0,0,0,0,0,0,0,0,0,0,0,"대적자의 머리장식, 인형핑크, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 설야 헤어, 흥흥 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
24c03f4e29f1f6082bc21237d118d73c,0,0,0,0,0,0,0,0,0,0,0,0,"검정콩 멍뭉이 인형탈, 인형핑크, 투명 안경, 투명 귀고리, 검정콩 멍뭉이 한벌옷, 검정콩 멍뭉이 신발, 난생 처음 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 설화 헤어, 랑드 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
e2c576c65e34b51928a2df8194ae1231,0,0,0,0,0,0,0,0,0,0,0,0,"은하매화, 투명 얼굴장식, 투명 안경, 투명 귀고리, 유랑자의 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","보라색 설화 헤어, 홍매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
361e37cf837bb45f22f4a71ced1c3e75,0,0,0,0,0,0,0,0,0,0,0,0,"은하매화, 은하매화 여행복, 매화나무 나막신, 푸른 하늘 은하수","검은색 설야 헤어, 홍매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
b37092a5fd731989b0be3c780c588104,3,17600,17600,2,0,0,0,0,0,0,0,0,"홍묘화, 투명 얼굴장식, 투명 안경, 투명 귀고리, 카링 비단옷, 매화나무 나막신, 투명 장갑, 투명 망토, 홍염유검, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","빨간색 보스 카링 헤어, 보스 카링 얼굴, 홍조 꽃잎 피부",1. 유료 유저 (아이템 구매 지출)
db889f973627fd68d1ac18f86493b6e5,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","초록색 설화 헤어, 흥흥 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
0e6c05af0ae26197de1e560abc997361,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 명찰 반지, 유랑자의 말풍선 반지","빨간색 설화 헤어, 홍매화 렌 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
af62136fba41f8b0c2fa6562b4882e95,0,0,0,0,0,0,0,0,0,0,0,0,"투명 얼굴장식, 투명 안경, 투명 귀고리, 유랑자의 로브, 난생 첫걸음, 투명 장갑","검은색 설야 헤어, 홍매화 렌 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
a07354945bad16ab87328db3e5001cf2,0,0,0,0,0,0,0,0,0,0,0,0,"에버니아 후드, 투명 얼굴장식, 투명 안경, 투명 귀고리, 에버니아 로브, 에버니아 부츠, 투명 장갑, 에버니아 케이프, 황혼의 모래시계, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 설야 헤어, 설매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
b85c6686cbe3129ab2d7c847ed0e3821,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 투명 망토, 하이퍼 버닝 소드, 유랑자의 명찰 반지, 유랑자의 말풍선 반지","검은색 베로 헤어, 동그래 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
9b75f62ce1d8178eb7def8e693c402f1,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","보라색 엔젤링 헤어, 동그래 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
841c4528baeb72ee4fb33c6fa7cb924c,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 인형핑크, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 투명 장갑, 투명 망토, 하이퍼 버닝 소드","검은색 리커버 헤어, 차분한 루시드 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
b01a134730955df4e9f66f914c763d42,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 경험치 부스트 링(15%), 유랑자의 말풍선 반지, 유랑자의 명찰 반지, 혈맹의 반지","검은색 룰루 헤어, 동그래 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
d82bc923f2e7b5324d8ad5a3a4e77c2c,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드","검은색 데이즈 헤어, 쪼꼬미 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
dd120d6c99cb8f24865adfadc552593d,0,0,0,0,0,0,0,0,0,0,0,0,"은하매화, 은하매화 여행복, 매화나무 나막신, 푸른 하늘 은하수","검은색 설화 헤어, 설매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
168a950824fe527e088fd074b2c8689486e68d4012202d0434d05f81868f68e3,0,0,0,0,0,0,0,0,0,0,0,0,"에버니아 후드, 발그레 발그레, 투명 안경, 투명 귀고리, 에버니아 로브, 에버니아 부츠, 투명 장갑, 에버니아 케이프, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 룰루 헤어, 설매화 렌 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
e43fba6b5c2e222e3111c631567dae1f,0,0,0,0,0,0,0,0,0,0,0,0,"마이 퀸 티아라, 나는 반창고, 투명 안경, 투명 귀고리, 속박의 매듭, 투명 장갑, 한밤의 축제, 악몽 시계, DREAMER 말풍선 반지, DREAMER 명찰 반지","갈색 제롬 헤어, 차차 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
05bd335d54093c97d789c69114129e44,0,0,0,0,0,0,0,0,0,0,0,0,"투명 얼굴장식, 투명 안경, 투명 귀고리, 투명 장갑, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 레미 헤어, 차분한 헤헤 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
1267d0655fc5f6155dd79d195f2fdba1,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 투명 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","파란색 마들렌 헤어, 살짝 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
7a15c010c8f9e1fa12f2e573e32ad073,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 하이퍼 버닝 로브, 매화나무 나막신, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 핑키웨이 헤어, 살짝 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
5efce836bd62fc6c3bd4a41bf83f7fe8,0,0,0,0,0,0,0,0,0,0,0,0,"투명 얼굴장식, 투명 안경, 투명 귀고리, 유랑자의 로브, 투명 장갑","검은색 설화 헤어, 홍매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
9d251e5b554529359db6909fdba234b4,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 하이퍼 버닝 소드, 쑥쑥 화분 말풍선 반지, 쑥쑥 화분 명찰 반지","파란색 엘리니아 헤어, 상냥한 모험가 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
6c6daacee04fd676092e8c63e6b86b59,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 인형핑크, 투명 안경, 꿈 속의 빛, 하이퍼 버닝 로브, 난생 첫걸음, 투명 장갑, 드림 랜드, 하이퍼 버닝 소드, 쑥쑥 화분 말풍선 반지, 쑥쑥 화분 명찰 반지, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","검은색 포니테일 별구름 헤어, 샤이닝 얼굴, 홍조 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
2c5cc73eedd19900df571ba7f33ff271,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 별의 일주, 투명 장갑, 버닝 플레임 윙즈, 하이퍼 버닝 소드, 유랑자의 말풍선 반지","검은색 후유 헤어, 홍매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
fc8418ba613e9167d88241500f6eede9,4,7920,7920,0,0,0,0,0,0,0,0,0,"빅토리안 리본, 인형핑크, 투명 안경, 투명 귀고리, 빅토리안 드레스, 빅토리안 니삭스, 투명 장갑, 빅토리안 러브레터, 빅토리안 만년필","검은색 셀레나 헤어, 조용한 눈 얼굴, 뽀송 꽃잎 피부",1. 유료 유저 (아이템 구매 지출)
cef3e6c63e419e9f717ad450123389b8,0,0,0,0,0,0,0,0,0,0,0,0,"에버니아 후드, 도톰한 입술, 투명 안경, 투명 귀고리, 에버니아 로브, 에버니아 부츠, 투명 장갑, 에버니아 케이프, 쑥쑥 새싹 무기, 유랑자의 명찰 반지, 유랑자의 말풍선 반지, 쑥쑥 화분 명찰 반지, 쑥쑥 화분 말풍선 반지","검은색 포춘 헤어, 흥흥 얼굴, 뽀송 꽃잎 피부",3. 순수 무료 유저 (지출 0원)
e7161b8b87b37baaf1ec74b194784e10,0,0,0,0,0,0,0,0,0,0,0,0,"하이퍼 버닝 크라운, 투명 얼굴장식, 투명 안경, 투명 귀고리, 하이퍼 버닝 로브, 매화나무 나막신, 난생 처음 장갑, 푸른 하늘 은하수, 하이퍼 버닝 소드, 유랑자의 말풍선 반지, 유랑자의 명찰 반지","보라색 핑키웨이 헤어, 홍매화 렌 얼굴, 엘프 피부",3. 순수 무료 유저 (지출 0원)
